periodo,anio,mes,demanda_gwh
2016 Jan,2016,1,828.9771217593121
2016 Feb,2016,2,792.7822453061049
2016 Mar,2016,3,866.782673787775
2016 Apr,2016,4,870.805711813845
2016 May,2016,5,898.1794476386609
2016 Jun,2016,6,842.1018725855009
2016 Jul,2016,7,864.1378591152998
2016 Aug,2016,8,868.8214521650251
2016 Sep,2016,9,839.4872023410389
2016 Oct,2016,10,869.882311493776
2016 Nov,2016,11,847.7590715568749
2016 Dec,2016,12,876.490551769491
2017 Jan,2017,1,863.462398480384
2017 Feb,2017,2,805.31365684745106
2017 Mar,2017,3,901.0260015375333
2017 Apr,2017,4,869.8870237311668
2017 May,2017,5,914.1016535994529
2017 Jun,2017,6,857.8520257606465
2017 Jul,2017,7,887.4484180994278
2017 Aug,2017,8,898.0424886232554
2017 Sep,2017,9,872.3165560120044
2017 Oct,2017,10,895.8265641813672
2017 Nov,2017,11,863.287824244541
2017 Dec,2017,12,871.2204232437339
2018 Jan,2018,1,865.0136202743952
2018 Feb,2018,2,822.7407082569422
2018 Mar,2018,3,923.5442869097369
2018 Apr,2018,4,904.1610338980623
2018 May,2018,5,944.5475219834457
2018 Jun,2018,6,890.1458988878883
2018 Jul,2018,7,932.6056997314039
2018 Aug,2018,8,928.861613178664
2018 Sep,2018,9,890.6004939392031
2018 Oct,2018,10,928.0107231183839
2018 Nov,2018,11,904.0769446293567
2018 Dec,2018,12,899.0369741533472
2019 Jan,2019,1,904.4989298358561
2019 Feb,2019,2,858.8973251232522
2019 Mar,2019,3,960.0394296316258
2019 Apr,2019,4,913.7701612544989
2019 May,2019,5,973.4418715695122
2019 Jun,2019,6,921.4156433058218
2019 Jul,2019,7,952.7981350174641
2019 Aug,2019,8,959.9281501819459
2019 Sep,2019,9,921.6628588537025
2019 Oct,2019,10,952.935435968007
2019 Nov,2019,11,917.5583350549261
2019 Dec,2019,12,917.9800871701232
2020 Jan,2020,1,939.5563209092198
2020 Feb,2020,2,907.8568722048491
2020 Mar,2020,3,927.6038479794258
2020 Apr,2020,4,848.0880315126858
2020 May,2020,5,883.3332686605298
2020 Jun,2020,6,862.2262421381117
2020 Jul,2020,7,914.2005117960481
2020 Aug,2020,8,948.2134638413584
2020 Sep,2020,9,939.6655981864633
2020 Oct,2020,10,977.8021450387323
2020 Nov,2020,11,923.7697070689717
2020 Dec,2020,12,955.3313888752582
2021 Jan,2021,1,952.1795020585623
2021 Feb,2021,2,904.775886765082
2021 Mar,2021,3,1018.2806086310503
2021 Apr,2021,4,989.1681407960989
2021 May,2021,5,1020.231115687263
2021 Jun,2021,6,990.942924241234
2021 Jul,2021,7,1028.3090441916129
2021 Aug,2021,8,1014.289626577307
2021 Sep,2021,9,992.9577319439976
2021 Oct,2021,10,1034.6173728061237
2021 Nov,2021,11,981.0263053171414
2021 Dec,2021,12,1025.434781283907
2022 Jan,2022,1,1006.9710330412051
2022 Feb,2022,2,934.1702061420599
2022 Mar,2022,3,1068.6661942724886
2022 Apr,2022,4,1032.5236998702355
2022 May,2022,5,1079.0789490835505
2022 Jun,2022,6,1008.5517755796684
2022 Jul,2022,7,1047.8037762758333
2022 Aug,2022,8,1064.4088438055646
2022 Sep,2022,9,1025.4709693396528
2022 Oct,2022,10,1052.9575308919034
2022 Nov,2022,11,1031.4804521825986
2022 Dec,2022,12,1034.9538124479182
2023 Jan,2023,1,1037.1489439014672
2023 Feb,2023,2,965.7881149570288
2023 Mar,2023,3,1115.4221564402349
2023 Apr,2023,4,1063.9791280925328
2023 May,2023,5,1155.341146508618
2023 Jun,2023,6,1105.0177665104898
2023 Jul,2023,7,1114.5842608895186
2023 Aug,2023,8,1144.1394286461946
2023 Sep,2023,9,1101.8611047628908
2023 Oct,2023,10,1094.7908404243108
2023 Nov,2023,11,1088.5896564545124
2023 Dec,2023,12,1100.0557224427878
2024 Jan,2024,1,1126.1827619937003
2024 Feb,2024,2,1064.6378264507368
2024 Mar,2024,3,1186.0841161135936
2024 Apr,2024,4,1188.2833914473288
2024 May,2024,5,1259.6390201655959
2024 Jun,2024,6,1132.205672228779
2024 Jul,2024,7,1172.0924224171379
2024 Aug,2024,8,1187.3466366886985
2024 Sep,2024,9,1156.15849455812
2024 Oct,2024,10,1200.184128509214
2024 Nov,2024,11,1134.3750500961864
2024 Dec,2024,12,1124.8462774155519
2025 Jan,2025,1,1160.7876041950008
2025 Feb,2025,2,1085.874915429604
2025 Mar,2025,3,1250.901983092975
2025 Apr,2025,4,1195.826706583244
2025 May,2025,5,1298.5498574467651
2025 Jun,2025,6,1191.297351993629
2025 Jul,2025,7,1247.1615022504548
2025 Aug,2025,8,1253.5933965043048
2025 Sep,2025,9,1217.554933140959
2025 Oct,2025,10,1253.6779437543878
2025 Nov,2025,11,1196.4662259995425
2025 Dec,2025,12,1224.1286408680148
2026 Jan,2026,1,1203.495142553886
2026 Feb,2026,2,1099.437676434647
2026 Mar,2026,3,1292.625587827434
